mesh_index,fbx_pos,fbx_end,sp3d_name,sp3d_type,sp3d_internal_type,object_id,sp3d_moniker,sp3d_display_name,sp3d_system_path,sp3d_bom_desc,sp3d_support_assembly,sp3d_support_weight,sp3d_status,sp3d_construction_type,sp3d_support_location
668,18898782,18902313,Utility_PLATE_2-1-C2,Geometry Group,SP3D Entity,22c2039f-bfeb-5740-a49d-11d2c5aaffb9,@a=0028!!140039##720109690368439015,Utility_PLATE_2-1-C2,TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\Assy_LE_DL_7-1-54*,"0.25 in Plate Steel, 9.00 in X 4.00 in",Assy_LE_DL_7-1-54*,2.57 lbm,Working,,E 87 ft  3 in       N 511 ft  8 in       EL+ 2 ft  7 in
669,18904279,18907810,Utility_PLATE_2-1-C3,Geometry Group,SP3D Entity,5e081260-639f-5525-a64d-678b59f10d1b,@a=0028!!140039##720109690368439185,Utility_PLATE_2-1-C3,TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\Assy_LE_DL_7-1-57*,"0.25 in Plate Steel, 9.00 in X 4.00 in",Assy_LE_DL_7-1-57*,2.57 lbm,Working,,E 78 ft  9 in       N 511 ft  8 in       EL+ 2 ft  7 in
670,18912677,18917261,Flange-3518,Geometry Group,SP3D Entity,585eb132-5ef3-5368-837f-b6c65cb07b97,@a=0027!!80005##720109690309965652,Flange-3518,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\P-176\P-176-10""-1C0031-",,,,Working,New,
671,18917718,18922302,Flange-3519,Geometry Group,SP3D Entity,cd7181ff-447d-5c39-9e13-144c9abcf9dc,@a=0027!!80005##720109690309965654,Flange-3519,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\P-176\P-176-10""-1C0031-",,,,Working,New,
672,18927156,18931742,Flange-3516,Geometry Group,SP3D Entity,ddfb0e94-402a-53ea-946b-f7aceb502ebd,@a=0027!!80005##720109690309965862,Flange-3516,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\P-176\P-176-2""-1C0031-",,,,Working,New,
673,18934786,18939356,Flange-3714,Geometry Group,SP3D Entity,34828f3a-0860-526b-bae2-9c095d4dcff3,@a=0027!!80005##720109690309965677,Flange-3714,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\P-176\P-176-8""-1C0031-",,,,Working,New,
674,18942413,18947004,Flange-3512,Geometry Group,SP3D Entity,24eaceaa-cb73-568e-866b-9bd0dc73e98c,@a=0027!!80005##720109690309965967,Flange-3512,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\P-177\P-177-10""-1C0031-",,,,Working,New,
675,18947461,18952052,Flange-4202,Geometry Group,SP3D Entity,b47934ba-c3d5-5973-8efc-ad30cc4f5a5c,@a=0027!!80005##720109690309965969,Flange-4202,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\P-177\P-177-10""-1C0031-",,,,Working,New,
676,18954734,18959320,Flange-3509,Geometry Group,SP3D Entity,748b747a-ded5-5edf-ba5a-bad1cac4f3f2,@a=0027!!80005##720109690309966062,Flange-3509,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\P-177\P-177-2""-1C0031-",,,,Working,New,
677,18962364,18966941,Flange-3713,Geometry Group,SP3D Entity,cd04baec-f116-524b-9989-97ff22139d9d,@a=0027!!80005##720109690309965959,Flange-3713,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\P-177\P-177-8""-1C0031-",,,,Working,New,
678,18971454,18975072,Utility_FOUR_HOLE_PLATE_4-1-C2,Geometry Group,SP3D Entity,fb62c20b-c881-59c3-b404-16267ff9835c,@a=0028!!140039##720109690368437172,Utility_FOUR_HOLE_PLATE_4-1-C2,TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\Assy_FR_TS_LS_1-1-3,"0.38 in Plate Steel, 6.00 in X 6.00 in 4 eq spaced 0.56 in dia. holes 0.88 in from edges",Assy_FR_TS_LS_1-1-3,7.83 lbm,Working,,E 78 ft  2 in       N 520 ft  7 in       EL+ 2 ft  0 in
679,18977758,18982340,Flange-3506,Geometry Group,SP3D Entity,286df51b-b6fd-53be-a651-b9c5f1ff0c76,@a=0027!!80005##720109690309966236,Flange-3506,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-12""-1C0031-",,,,Working,New,
680,18985022,18989608,Flange-3608,Geometry Group,SP3D Entity,2fd77b45-3778-586c-8783-efc0acc42825,@a=0027!!80005##720109690309966828,Flange-3608,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-2""-1C0031-",,,,Working,New,
681,18990065,18994651,Flange-3609,Geometry Group,SP3D Entity,6785c015-a8a8-56ad-a2ab-8b0a888a6d95,@a=0027!!80005##720109690309966729,Flange-3609,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-2""-1C0031-",,,,Working,New,
682,18999505,19004093,Flange-1813,Geometry Group,SP3D Entity,fe705f90-53bb-57a8-b678-421a85ee2478,@a=0027!!80005##299867550534073216,Flange-1813,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-4""-1C0031-",,,,Working,New,
683,19004550,19009138,Flange-1814,Geometry Group,SP3D Entity,ffee98e7-bf6f-5f8b-bbe5-e3a22e3c231b,@a=0027!!80005##299867550534073572,Flange-1814,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-4""-1C0031-",,,,Working,New,
684,19009595,19014179,Flange-3507,Geometry Group,SP3D Entity,e7417ae1-fe33-534f-8078-804a632cae84,@a=0027!!80005##720109690309966260,Flange-3507,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-4""-1C0031-",,,,Working,New,
685,19016446,19021012,Weldolet-0506,Geometry Group,SP3D Entity,7a693c65-e86b-5bbf-ac02-e539849b2ca6,@a=0027!!80005##299867550534073187,Weldolet-0506,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-4""-1C0031-",,,,Working,New,
686,19024418,19029001,Flange-1809,Geometry Group,SP3D Entity,77060b14-4ac2-5ff7-8200-f650a6705453,@a=0027!!80005##299867550534072816,Flange-1809,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-6""-1C0031-",,,,Working,New,
687,19029458,19034057,Flange-1811,Geometry Group,SP3D Entity,1d9c00e5-719b-57fc-8475-66ceb4953b5a,@a=0027!!80005##299867550534073038,Flange-1811,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-6""-1C0031-",,,,Working,New,
688,19034514,19039097,Flange-3521,Geometry Group,SP3D Entity,be19cb94-c8d7-5c2f-b7dd-7a2c895caba5,@a=0027!!80005##720109690309966208,Flange-3521,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-6""-1C0031-",,,,Working,New,
689,19039554,19044141,Flange-3524,Geometry Group,SP3D Entity,f4c2a2a4-3d3d-5267-8b87-9a2788964140,@a=0027!!80005##720109690309966221,Flange-3524,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-6""-1C0031-",,,,Working,New,
690,19044598,19049186,Flange-3525,Geometry Group,SP3D Entity,f6bd8b19-9a01-503b-ac35-940c7590beb0,@a=0027!!80005##720109690309966223,Flange-3525,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-6""-1C0031-",,,,Working,New,
691,19054764,19059348,Flange-3656,Geometry Group,SP3D Entity,e77a3f41-30de-5c5b-b116-b6722874b8b2,@a=0027!!80005##720109690309959032,Flange-3656,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-8""-1C0031-",,,,Working,New,
692,19059805,19064389,Flange-3657,Geometry Group,SP3D Entity,15228054-38ee-5692-9265-7bcfc9db41f6,@a=0027!!80005##720109690309959033,Flange-3657,"TRAINING\Sulphur Recovery Area\Recovery Stage 1\P&ID SRS01-U02-001\S-172\S-172-8""-1C0031-",,,,Working,New,
